arch_type,num_conv_layers,num_channels,num_fc_units,learning_rate,batch_size,num_epochs,dropout_rate,optimizer_type,input_resolution,accuracy,inference_ms,param_count,phase,trial,wall_time_s
depthwise_separable,1,64,64,0.001,16,5,0.3,Adam,32,0.4719,1.2499282027129084,11786,init,0,89.37962532043457
plain,3,16,256,0.0003,64,8,0.1,SGD,16,0.3547,0.6110434022266418,43018,init,1,44.736027002334595
plain,2,32,32,0.0001,64,3,0.1,SGD,16,0.1811,0.47510960209183395,21994,init,2,20.741410970687866
depthwise_separable,4,8,128,0.003,32,5,0.4,Adam,32,0.4923,2.129253800259903,8514,init,3,60.34664964675903
residual,2,16,128,0.003,16,3,0.0,SGD,16,0.4558,1.1561586004681885,25626,init,4,51.32712697982788
plain,4,64,32,0.0001,32,8,0.4,Adam,32,0.6463,13.162121001863852,970858,init,5,346.32805824279785
residual,1,8,256,0.0003,64,3,0.2,Adam,32,0.3592,1.1635852013714612,6402,init,6,55.41651391983032
depthwise_separable,3,32,64,0.001,16,8,0.2,SGD,16,0.4849,2.4198266009334475,23338,init,7,210.235613822937
plain,2,64,32,0.0003,32,8,0.4,Adam,32,0.4701,0.8691077982075512,80490,bo,8,116.83266019821167
plain,4,64,32,0.001,32,8,0.4,Adam,32,0.6221,3.277073198929429,970858,bo,9,319.6839454174042
residual,4,64,32,0.0001,32,8,0.4,Adam,32,0.5755,15.931777196004989,2486698,bo,10,1305.5837724208832
plain,4,64,64,0.0003,32,5,0.4,SGD,32,0.526,6.611419599736109,979402,bo,11,298.7137815952301
plain,4,32,32,0.001,32,8,0.3,Adam,16,0.5055,2.5245258018840104,245994,bo,12,140.75804710388184
plain,4,64,32,0.003,32,8,0.1,Adam,32,0.657,3.886752597754821,970858,bo,13,456.41729617118835
plain,4,32,32,0.0001,32,8,0.2,Adam,32,0.6081,2.414634599816054,245994,bo,14,220.84766721725464
plain,4,64,128,0.0001,32,5,0.0,Adam,32,0.6286,3.625205399468541,996490,bo,15,290.7953145503998
residual,1,32,64,0.0003,16,8,0.4,SGD,32,0.3499,4.06930139916949,23466,bo,16,327.8381133079529
plain,4,64,32,0.003,32,5,0.4,Adam,32,0.4987,4.200568201486021,970858,bo,17,292.36056685447693
plain,4,64,32,0.0001,32,8,0.0,Adam,32,0.6459,4.824229801306501,970858,bo,18,481.59660482406616
plain,4,64,32,0.0003,32,8,0.1,Adam,32,0.593,3.218187399674207,970858,bo,19,443.4579448699951
